Query   Time(s)    Peers-Reached     QueryHits     Average-Component-Size     Number-of-Components       Diameter        Number-of-Documents      Peers-Online
0  27.453    1    0    1.0    1.0    0    31    1.0
1  37.453    1    0    1.0    1.0    0    31    1.0
2  47.453    1    0    1.0    1.0    0    31    1.0
3  57.453    1    0    1.0    1.0    0    31    1.0
4  67.453    1    0    1.0    1.0    0    31    1.0
5  77.453    1    0    1.0    1.0    0    31    1.0
6  87.453    1    0    1.0    1.0    0    31    1.0
7  97.453    1    0    1.0    1.0    0    31    1.0
8  107.453    1    1    1.0    2.0    0    35    2.0
9  117.453    1    0    1.0    3.0    0    101    3.0
10  117.512    1    1    1.0    3.0    0    101    3.0
11  126.029    2    0    1.66666666667    2.0    1    101    3.0
12  127.453    1    0    1.66666666667    2.0    1    101    3.0
13  127.512    2    0    1.66666666667    2.0    1    101    3.0
14  136.029    2    0    1.66666666667    2.0    1    101    3.0
15  137.453    1    0    1.66666666667    2.0    1    101    3.0
16  137.512    2    0    1.66666666667    2.0    1    101    3.0
17  146.029    2    0    1.66666666667    2.0    1    101    3.0
18  147.453    1    0    1.66666666667    2.0    1    101    3.0
19  147.512    2    0    1.66666666667    2.0    1    101    3.0
20  156.029    2    0    1.66666666667    2.0    1    101    3.0
21  157.453    1    0    1.66666666667    2.0    1    101    3.0
22  157.512    2    0    1.66666666667    2.0    1    101    3.0
23  166.029    2    1    1.66666666667    2.0    1    101    3.0
24  167.453    1    0    1.66666666667    2.0    1    101    3.0
25  167.512    2    1    1.66666666667    2.0    1    101    3.0
26  176.029    2    1    1.66666666667    2.0    1    101    3.0
27  177.453    1    1    1.66666666667    2.0    1    101    3.0
28  177.512    2    0    1.66666666667    2.0    1    101    3.0
29  186.029    2    21    1.66666666667    2.0    1    101    3.0
30  187.453    1    0    1.66666666667    2.0    1    102    3.0
31  187.512    2    0    1.66666666667    2.0    1    102    3.0
32  196.029    2    0    1.66666666667    2.0    1    102    3.0
33  197.453    1    0    1.66666666667    2.0    1    102    3.0
34  197.512    2    0    1.66666666667    2.0    1    102    3.0
35  206.029    2    0    1.66666666667    2.0    1    102    3.0
36  207.453    1    1    1.66666666667    2.0    1    102    3.0
37  207.512    2    1    1.66666666667    2.0    1    102    3.0
38  216.029    2    0    1.66666666667    2.0    1    102    3.0
39  217.453    1    0    1.66666666667    2.0    1    102    3.0
40  217.512    2    0    1.66666666667    2.0    1    102    3.0
41  226.029    2    1    1.66666666667    2.0    1    103    3.0
42  227.453    1    0    1.66666666667    2.0    1    103    3.0
43  227.512    2    0    1.66666666667    2.0    1    103    3.0
44  236.029    2    21    1.66666666667    2.0    1    103    3.0
45  237.453    1    0    1.66666666667    2.0    1    103    3.0
46  237.512    2    1    1.66666666667    2.0    1    103    3.0
47  246.029    2    21    1.66666666667    2.0    1    103    3.0
48  247.453    1    0    1.66666666667    2.0    1    103    3.0
49  247.512    2    21    1.66666666667    2.0    1    103    3.0
50  256.029    2    22    1.66666666667    2.0    1    104    3.0
51  257.453    1    0    1.66666666667    2.0    1    104    3.0
52  257.512    2    22    1.66666666667    2.0    1    104    3.0
53  266.029    2    21    1.66666666667    2.0    1    104    3.0
54  267.453    1    0    1.66666666667    2.0    1    104    3.0
55  267.512    2    21    1.66666666667    2.0    1    104    3.0
56  276.029    2    22    1.66666666667    2.0    1    104    3.0
57  277.453    1    0    1.66666666667    2.0    1    104    3.0
58  277.512    2    22    1.66666666667    2.0    1    104    3.0
59  286.029    3    32    2.5    2.0    2    138    4.0
60  287.453    1    0    2.5    2.0    2    138    4.0
61  287.512    3    32    2.5    2.0    2    138    4.0
62  287.985    3    0    2.5    2.0    2    138    4.0
63  296.029    3    32    2.5    2.0    2    138    4.0
64  297.453    1    0    2.5    2.0    2    139    4.0
65  297.512    3    34    2.5    2.0    2    139    4.0
66  297.985    3    0    2.2    3.0    2    174    5.0
67  306.029    3    0    2.2    3.0    2    182    5.0
68  307.453    1    0    2.2    3.0    2    182    5.0
69  307.512    3    32    2.2    3.0    2    182    5.0
70  307.985    3    0    2.2    3.0    2    182    5.0
71  307.999    1    0    2.2    3.0    2    182    5.0
72  316.029    3    0    1.85714285714    5.0    2    261    7.0
73  317.453    1    0    1.85714285714    5.0    2    261    7.0
74  317.512    3    33    1.85714285714    5.0    2    261    7.0
75  317.985    3    0    1.85714285714    5.0    2    261    7.0
76  317.999    1    0    1.85714285714    5.0    2    261    7.0
77  320.465    1    0    1.85714285714    5.0    2    261    7.0
78  321.115    1    0    1.85714285714    5.0    2    261    7.0
79  326.029    3    0    1.85714285714    5.0    2    261    7.0
80  327.453    1    0    1.85714285714    5.0    2    261    7.0
81  327.512    3    32    1.85714285714    5.0    2    261    7.0
82  327.985    3    0    1.85714285714    5.0    2    261    7.0
83  327.999    1    0    1.85714285714    5.0    2    261    7.0
84  330.465    1    0    1.85714285714    5.0    2    261    7.0
85  331.115    1    0    1.85714285714    5.0    2    261    7.0
86  336.029    3    0    1.75    6.0    2    297    8.0
87  337.453    1    0    1.75    6.0    2    297    8.0
88  337.512    3    33    1.75    6.0    2    297    8.0
89  337.985    3    0    1.75    6.0    2    297    8.0
90  337.999    1    0    1.75    6.0    2    297    8.0
91  340.465    1    0    1.75    6.0    2    297    8.0
92  341.115    1    0    1.75    6.0    2    297    8.0
93  345.731    1    0    1.66666666667    7.0    2    336    9.0
94  346.029    3    0    1.66666666667    7.0    2    336    9.0
95  347.453    1    0    1.66666666667    7.0    2    336    9.0
96  347.512    3    32    1.66666666667    7.0    2    336    9.0
97  347.985    3    0    1.66666666667    7.0    2    336    9.0
98  347.999    1    0    1.66666666667    7.0    2    336    9.0
99  350.465    1    0    1.66666666667    7.0    2    336    9.0
100  351.115    1    0    1.66666666667    7.0    2    336    9.0
101  355.205    1    0    1.66666666667    7.0    2    336    9.0
102  355.731    1    0    1.66666666667    7.0    2    336    9.0
103  356.029    3    0    1.66666666667    7.0    2    336    9.0
104  357.453    1    0    1.66666666667    7.0    2    336    9.0
105  357.512    3    33    1.66666666667    7.0    2    336    9.0
106  357.985    3    0    1.66666666667    7.0    2    336    9.0
107  357.999    1    0    1.66666666667    7.0    2    336    9.0
108  360.465    1    0    1.66666666667    7.0    2    336    9.0
109  361.115    1    0    1.66666666667    7.0    2    336    9.0
110  365.205    1    0    1.66666666667    7.0    2    336    9.0
111  365.731    1    0    1.66666666667    7.0    2    336    9.0
112  366.029    3    0    1.66666666667    7.0    2    336    9.0
113  367.453    1    0    1.66666666667    7.0    2    336    9.0
114  367.512    3    32    1.66666666667    7.0    2    336    9.0
115  367.985    3    0    1.66666666667    7.0    2    336    9.0
116  367.999    1    0    1.66666666667    7.0    2    336    9.0
117  370.465    1    0    1.66666666667    7.0    2    336    9.0
118  371.115    1    0    1.66666666667    7.0    2    336    9.0
119  375.205    1    0    1.66666666667    7.0    2    336    9.0
120  375.731    1    0    1.66666666667    7.0    2    336    9.0
121  376.029    3    0    1.66666666667    7.0    2    336    9.0
122  377.453    1    0    1.66666666667    7.0    2    336    9.0
123  377.512    3    34    1.66666666667    7.0    2    336    9.0
124  377.985    3    0    1.66666666667    7.0    2    336    9.0
125  377.999    1    0    1.66666666667    7.0    2    336    9.0
126  380.465    1    0    1.66666666667    7.0    2    336    9.0
127  381.115    1    0    1.66666666667    7.0    2    336    9.0
128  385.205    1    0    1.66666666667    7.0    2    336    9.0
129  385.731    1    0    1.66666666667    7.0    2    336    9.0
130  386.029    3    0    1.66666666667    7.0    2    336    9.0
131  387.453    1    0    1.66666666667    7.0    2    336    9.0
132  387.512    3    32    1.66666666667    7.0    2    336    9.0
133  387.985    3    0    1.66666666667    7.0    2    336    9.0
134  387.999    1    0    1.66666666667    7.0    2    336    9.0
135  390.465    1    0    1.66666666667    7.0    2    336    9.0
136  391.115    1    0    1.66666666667    7.0    2    336    9.0
137  395.205    1    0    1.66666666667    7.0    2    336    9.0
138  395.731    1    0    1.66666666667    7.0    2    336    9.0
139  396.029    3    0    1.66666666667    7.0    2    336    9.0
140  397.453    1    0    1.66666666667    7.0    2    336    9.0
141  397.512    3    33    1.66666666667    7.0    2    336    9.0
142  397.985    3    0    1.6    8.0    2    377    10.0
143  397.999    1    1    1.6    8.0    2    377    10.0
144  400.465    1    0    1.6    8.0    2    377    10.0
145  401.115    1    0    1.6    8.0    2    377    10.0
146  405.205    1    0    1.6    8.0    2    377    10.0
147  405.731    1    0    1.6    8.0    2    377    10.0
148  406.029    3    0    1.6    8.0    2    377    10.0
149  407.453    1    0    1.6    8.0    2    377    10.0
150  407.512    3    32    1.6    8.0    2    377    10.0
151  407.598    1    0    1.6    8.0    2    377    10.0
152  407.985    3    0    1.6    8.0    2    377    10.0
153  407.999    1    0    1.6    8.0    2    377    10.0
154  410.465    1    0    1.6    8.0    2    377    10.0
155  411.115    1    0    1.6    8.0    2    377    10.0
156  415.205    1    0    1.6    8.0    2    377    10.0
157  415.731    1    0    1.6    8.0    2    377    10.0
158  416.029    3    0    1.6    8.0    2    377    10.0
159  417.453    1    0    1.6    8.0    2    377    10.0
160  417.512    3    34    1.6    8.0    2    377    10.0
161  417.598    1    0    1.6    8.0    2    377    10.0
162  417.985    3    0    1.6    8.0    2    377    10.0
163  417.999    1    0    1.6    8.0    2    377    10.0
164  420.465    1    0    1.6    8.0    2    377    10.0
165  421.115    1    0    1.6    8.0    2    377    10.0
166  425.205    1    0    1.6    8.0    2    377    10.0
167  425.731    1    0    1.6    8.0    2    377    10.0
168  426.029    3    1    1.6    8.0    2    377    10.0
169  427.453    1    0    1.6    8.0    2    377    10.0
170  427.512    3    32    1.6    8.0    2    377    10.0
171  427.598    1    0    1.6    8.0    2    377    10.0
172  427.985    3    0    1.6    8.0    2    377    10.0
173  427.999    1    0    1.6    8.0    2    377    10.0
174  430.465    1    0    1.6    8.0    2    377    10.0
175  431.115    1    0    1.6    8.0    2    377    10.0
176  435.205    1    1    1.6    8.0    2    377    10.0
177  435.731    1    0    1.6    8.0    2    377    10.0
178  436.029    3    0    1.6    8.0    2    377    10.0
